import time: self [us] | cumulative | imported package
import time:      2137 |       4122 |           xml.etree
import time:      2234 |       2234 |           xml.etree.ElementPath
import time:      2127 |       2127 |             pyexpat
import time:      1924 |       4051 |           _elementtree
import time:      3553 |      13959 |         xml.etree.ElementTree
import time:      1551 |       1551 |         yt_dlp.compat.compat_utils
import time:      1250 |      16759 |       yt_dlp.compat
import time:      1069 |       1069 |         brotlicffi
import time:       995 |        995 |         brotli
import time:      2071 |       2071 |                 numbers
import time:      2686 |       4757 |               _decimal
import time:      1797 |       6553 |             decimal
import time:      3619 |      10172 |           mutagen._util
import time:      1453 |       1453 |           mutagen._file
import time:       976 |        976 |           mutagen._tags
import time:      1802 |      14401 |         mutagen
import time:      1258 |       1258 |         secretstorage
import time:      3317 |       3317 |             _sqlite3
import time:      2009 |       5326 |           sqlite3.dbapi2
import time:      1696 |       7022 |         sqlite3
import time:      1136 |       1136 |         websockets
import time:       950 |        950 |         xattr
import time:       881 |        881 |         curl_cffi
import time:      1234 |       1234 |           Cryptodome
import time:       987 |        987 |           Crypto
import time:      1402 |       3621 |         yt_dlp.dependencies.Cryptodome
import time:      1010 |       1010 |         yt_dlp_ejs
import time:      1614 |      33953 |       yt_dlp.dependencies
import time:      1238 |      51948 |     yt_dlp.aes
import time:       177 |        177 |               _ast
import time:      3218 |       3394 |             ast
import time:       104 |        104 |                 _opcode
import time:      1893 |       1997 |               opcode
import time:      2707 |       4703 |             dis
import time:       191 |        191 |             importlib.machinery
import time:      8993 |      17281 |           inspect
import time:      3566 |       3566 |                 html.entities
import time:      2411 |       5977 |               html
import time:        87 |       6063 |             html.entities
import time:      2405 |       2405 |               _markupbase
import time:      4356 |       6761 |             html.parser
import time:      1943 |       1943 |             netrc
import time:      4900 |       4900 |             platform
import time:      1051 |       1051 |             yt_dlp.globals
import time:      3365 |       3365 |               _ctypes
import time:      2178 |       2178 |               ctypes._endian
import time:      3569 |       9111 |             ctypes
import time:      2220 |       2220 |             ctypes.wintypes
import time:      9838 |      41884 |           yt_dlp.utils._utils
import time:      2033 |      61196 |         yt_dlp.utils.traversal
import time:      1510 |      62705 |       yt_dlp.utils
import time:      1017 |      63722 |     yt_dlp.minicurses
import time:      1343 |       1343 |     yt_dlp.utils.networking
import time:      5513 |     124558 |   yt_dlp.cookies
import time:      2169 |       2169 |       yt_dlp.downloader.common
import time:      1894 |       1894 |             concurrent
import time:      2621 |       2621 |             concurrent.futures._base
import time:      2003 |       6517 |           concurrent.futures
import time:      1221 |       1221 |                   yt_dlp.networking.exceptions
import time:      1590 |       1590 |                   yt_dlp.socks
import time:      1394 |       4204 |                 yt_dlp.networking._helper
import time:      2290 |       6494 |               yt_dlp.networking.common
import time:      1727 |       1727 |               yt_dlp.networking._urllib
import time:      1462 |       1462 |               yt_dlp.networking._requests
import time:       914 |        914 |                 yt_dlp.networking.websocket
import time:      1107 |       2021 |               yt_dlp.networking._websockets
import time:      2640 |       2640 |                   dataclasses
import time:      3736 |       6376 |                 yt_dlp.networking.impersonate
import time:      1253 |       7628 |               yt_dlp.networking._curlcffi
import time:      1565 |      20894 |             yt_dlp.networking
import time:      1265 |      22158 |           yt_dlp.downloader.http
import time:      1137 |       1137 |           yt_dlp.utils.progress
import time:      1353 |      31164 |         yt_dlp.downloader.fragment
import time:      1054 |      32218 |       yt_dlp.downloader.dash
import time:      2062 |       2062 |           _uuid
import time:      2747 |       4808 |         uuid
import time:      1845 |       1845 |             yt_dlp.postprocessor.common
import time:       220 |        220 |                   _contextvars
import time:      2430 |       2649 |                 contextvars
import time:      6866 |       9515 |               yt_dlp.postprocessor.ffmpeg
import time:      1472 |       1472 |                 mutagen._vorbis
import time:      1458 |       1458 |                       mutagen.id3._util
import time:      4305 |       4305 |                           mutagen.id3._specs
import time:      1604 |       1604 |                           mutagen._constants
import time:      9645 |      15554 |                         mutagen.id3._frames
import time:      1657 |      17211 |                       mutagen.id3._tags
import time:      1003 |       1003 |                       mutagen.id3._id3v1
import time:      2029 |      21699 |                     mutagen.id3._file
import time:      1456 |      23155 |                   mutagen.id3
import time:       131 |      23285 |                 mutagen.id3._util
import time:      3435 |      28192 |               mutagen.flac
import time:      1352 |       1352 |                 mutagen.mp4._atom
